5, 114, 0.000007, 38, 0.000008, 38, 0.000096, 38
5, 169, 0.000009, 15, 0.000011, 15, 0.000057, 15
5, 144, 0.000011, 17, 0.000008, 17, 0.000063, 17
5, 199, 0.000009, 23, 0.000009, 23, 0.000076, 23
5, 155, 0.000009, 35, 0.000009, 35, 0.000049, 35
5, 175, 0.000008, 37, 0.000009, 37, 0.000070, 37
5, 199, 0.000008, 27, 0.000008, 27, 0.000063, 27
5, 110, 0.000009, 41, 0.000009, 41, 0.000060, 41
5, 144, 0.000008, 26, 0.000009, 26, 0.000056, 26
5, 181, 0.000008, 27, 0.000008, 27, 0.000085, 27
6, 147, 0.000011, 36, 0.000012, 36, 0.000081, 36
6, 129, 0.000010, 40, 0.000012, 40, 0.000077, 40
6, 132, 0.000011, 30, 0.000012, 30, 0.000084, 30
6, 100, 0.000012, 24, 0.000011, 24, 0.000048, 24
6, 119, 0.000011, 24, 0.000012, 24, 0.000075, 24
6, 147, 0.000012, 30, 0.000011, 30, 0.000068, 30
6, 150, 0.000012, 32, 0.000011, 32, 0.000080, 32
6, 173, 0.000012, 40, 0.000012, 40, 0.000101, 40
6, 141, 0.000012, 25, 0.000010, 25, 0.000080, 25
6, 173, 0.000011, 28, 0.000020, 28, 0.000022, 28
7, 153, 0.000005, 40, 0.000005, 40, 0.000022, 40
7, 140, 0.000005, 48, 0.000005, 48, 0.000021, 48
7, 122, 0.000005, 41, 0.000005, 41, 0.000023, 41
7, 155, 0.000005, 37, 0.000006, 37, 0.000023, 37
7, 119, 0.000005, 27, 0.000005, 27, 0.000019, 27
7, 125, 0.000005, 27, 0.000004, 27, 0.000018, 27
7, 154, 0.000005, 20, 0.000005, 20, 0.000022, 20
7, 194, 0.000005, 34, 0.000004, 34, 0.000028, 34
7, 139, 0.000005, 49, 0.000004, 49, 0.000020, 49
7, 108, 0.000005, 39, 0.000005, 39, 0.000022, 39
8, 150, 0.000009, 50, 0.000008, 50, 0.000020, 50
8, 131, 0.000009, 32, 0.000008, 32, 0.000018, 32
8, 171, 0.000009, 38, 0.000008, 38, 0.000022, 38
8, 152, 0.000010, 34, 0.000008, 34, 0.000020, 34
8, 102, 0.000009, 48, 0.000008, 48, 0.000020, 48
8, 148, 0.000009, 43, 0.000008, 43, 0.000019, 43
8, 200, 0.000009, 51, 0.000007, 51, 0.000025, 51
8, 101, 0.000010, 41, 0.000008, 41, 0.000016, 41
8, 150, 0.000009, 56, 0.000008, 56, 0.000020, 56
8, 134, 0.000009, 41, 0.000007, 41, 0.000022, 41
9, 173, 0.000015, 54, 0.000014, 54, 0.000019, 54
9, 154, 0.000015, 40, 0.000013, 40, 0.000017, 40
9, 150, 0.000016, 49, 0.000019, 49, 0.000017, 49
9, 165, 0.000016, 55, 0.000014, 55, 0.000022, 55
9, 110, 0.000014, 57, 0.000014, 57, 0.000014, 57
9, 156, 0.000015, 41, 0.000013, 41, 0.000018, 41
9, 137, 0.000015, 65, 0.000014, 65, 0.000016, 65
9, 106, 0.000015, 48, 0.000013, 48, 0.000013, 48
9, 138, 0.000016, 54, 0.000014, 54, 0.000016, 54
9, 121, 0.000015, 39, 0.000013, 39, 0.000014, 39
10, 112, 0.000026, 49, 0.000018, 49, 0.000015, 49
10, 164, 0.000026, 57, 0.000018, 57, 0.000024, 57
